,RAZAO SOCIAL,CNPJ,ENDEREÇO,lat,lng,CIDADE,weight
4197,STELLA COR LTDA,10732263000149,"AVENIDA AVENIDA PRESIDENTE CASTELO BRANCO  316 , MAUA",-23.6623883,-46.4486743,MAUA,4
4198,SERGIO GREGORIO DE OLIVEIRA,10733930000108,"AVENIDA JOSE PINHEIRO BORGES  6 , SAO PAULO",-23.5267181,-46.4319536,SAO PAULO,3
4199,MUROCAL COMERCIO DE MATERIAL ELETRICO LTDA,10734620000108,"RUA ALONSO PERES  181 , SAO PAULO",-23.4907419,-46.5706414,SAO PAULO,2
4200,RVF COMERCIAL DE SELANTES E VEDACOES LTDA,10734738000136,"RUA ACAJU  152 , SAO PAULO",-23.5548267,-46.5483074,SAO PAULO,2
4201,ANTONIO MOREIRA DA SILVA  MATERIAL DE CONSTRUCAO,10740196000104,"RUA DOUTOR ZUQUIM  446 , SAO PAULO",-23.5014626,-46.6222007,SAO PAULO,1
4202,ART TERRA  IVAN PINHEIRO LTDA,10742225000177,"RUA ONIX  71 , SAO PAULO",-23.5773994,-46.6283956,SAO PAULO,1
4203,MARCOS DE SOUZA MAGALHAES,10743277000168,"RUA CECILIA MEIRELES  73 , ITAQUAQUECETUBA",-23.444361,-46.379707,ITAQUAQUECETUBA,4
4204,LESTE SAO PAULO MATERIAIS DE CONSTRUCAO LTDA,10743806000123,"AVENIDA ITAQUERA  6751 , SAO PAULO",-23.5511094,-46.463811,SAO PAULO,3
4205,LESTE SAO PAULO MATERIAIS DE CONSTRUCAO LTDA,10743806000204,"AVENIDA JOAO XXIII  2320 , SAO PAULO",-23.5637399,-46.5229138,SAO PAULO,2
4206,LOGIC SYSTEMSSISTEMAS DE PREVENCAO CONTRA INCENDIO LTDA,10746138000198,"ALAMEDA FRANCISCO ALVES  158 , SANTO ANDRE",-23.6548586,-46.5370435,SANTO ANDRE,3
4207,JAIME COMERCIO DE VIDROS PAULISTA LTDA,10747852000109,"RUA RUA DO LUCAS  72 , SAO PAULO",-23.543943,-46.6247142,SAO PAULO,1
4208,J C ALVES DA SILVA,10752341000177,"RUA ENGENHEIRO CAETANO ALVARES  2935 , SAO PAULO",-23.4923731,-46.6580706,SAO PAULO,1
4209,FLASH COMERCIO DE MATERIAIS ELETRICOS E SERVICOS LTDA,10752963000103,"RUA DUQUE DE CAXIAS  236 , FRANCISCO MORATO",-23.2904139,-46.7497289,FRANCISCO MORATO,4
4210,EUROHEATERS BRASIL COM IMP E EXP DE PRODUTOS ELETRICOS LTDA,10753125000146,"RUA JORGE TIBIRICA  107 , SAO PAULO",-23.5979983,-46.6338675,SAO PAULO,1
4211,INDUMAX COMERCIO DE ACESSORIOS INDUSTRIAIS LTDA,10753413000109,"AVENIDA CABRALIA PAULISTA  51 , SAO PAULO",-23.5316623,-46.5033737,SAO PAULO,2
4212,JOSMIR SENADOR COMERCIO DE FERRAMENTAS LTDA,10753763000167,"RUA SENADOR FLAQUER  712 , SANTO ANDRE",-23.6639153,-46.522002,SANTO ANDRE,3
4213,MIX GLASS SOLUCOES EM VIDROS LTDA,10753940000105,"RUA DA PAZ  1113 , SAO PAULO",-23.631205,-46.6995321,SAO PAULO,2
4214,LAYANE & JOANNY COMERCIO DE MATERIAIS ELETRICOS LTDA,10754436000120,"RUA BENFICA  71 , SAO PAULO",-23.4850369,-46.5707492,SAO PAULO,2
4215,SONIA RIBEIRO DE SOUZA,10755449000113,"AVENIDA ARICANDUVA  2701 , SAO PAULO",-23.5467215,-46.5270546,SAO PAULO,2
4216,HENGDAR DISTRIBUIDORA DE PRESENTES  EIRELI,10759304000190,"AVENIDA WASHINGTON LUIS  3490 , SAO PAULO",-23.6484023,-46.6757211,SAO PAULO,2
4218,CASA NAKANO MATERIAIS PARA CONSTRUCAO LTDA,10762806000170,"RUA MANDIBA  643 , SAO PAULO",-23.4871753,-46.658533,SAO PAULO,1
